Data:
load('F:\oytun_Calisma\data\Traindatatwoclass_features_02_12_2021_newspectrogramsparfor');

13 x 4225 lik bir data var.

170 data 

56 fast - 114 slow

trainRatio=0.8;
valRatio=0.1;
testRatio=0.1;

|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:03 |       34.38% |       35.29% |       0.7997 |       0.7584 |          0.0100 |
|       1 |           2 |       00:00:03 |       40.63% |       76.47% |       0.7281 |       0.6537 |          0.0100 |
|       1 |           3 |       00:00:04 |       62.50% |       82.35% |       0.6463 |       0.5587 |          0.0100 |
|       1 |           4 |       00:00:04 |       65.63% |       82.35% |       0.5754 |       0.5027 |          0.0100 |
|       2 |           5 |       00:00:05 |       71.88% |       82.35% |       0.4668 |       0.4651 |          0.0100 |
|       2 |           6 |       00:00:05 |       56.25% |       82.35% |       0.6674 |       0.4439 |          0.0100 |
|       2 |           7 |       00:00:05 |       68.75% |       82.35% |       0.5910 |       0.4274 |          0.0100 |
|       2 |           8 |       00:00:05 |       71.88% |       82.35% |       0.5644 |       0.4119 |          0.0100 |
|       3 |           9 |       00:00:06 |       59.38% |       82.35% |       0.5338 |       0.4014 |          0.0100 |
|       3 |          10 |       00:00:06 |       50.00% |       82.35% |       0.8562 |       0.3999 |          0.0100 |
|       3 |          11 |       00:00:06 |       62.50% |       82.35% |       0.6182 |       0.4097 |          0.0100 |
|       3 |          12 |       00:00:07 |       68.75% |       82.35% |       0.6170 |       0.4296 |          0.0100 |
|       4 |          13 |       00:00:07 |       71.88% |       76.47% |       0.4747 |       0.4507 |          0.0100 |
|       4 |          14 |       00:00:07 |       40.63% |       70.59% |       0.7388 |       0.4879 |          0.0100 |
|       4 |          15 |       00:00:07 |       50.00% |       64.71% |       0.6907 |       0.5121 |          0.0100 |
|       4 |          16 |       00:00:08 |       68.75% |       70.59% |       0.5693 |       0.5383 |          0.0100 |
|       5 |          17 |       00:00:08 |       68.75% |       70.59% |       0.5213 |       0.5517 |          0.0100 |
|       5 |          18 |       00:00:08 |       56.25% |       70.59% |       0.6819 |       0.5547 |          0.0100 |
|       5 |          19 |       00:00:09 |       71.88% |       76.47% |       0.5117 |       0.5429 |          0.0100 |
