Data:
load('F:\oytun_Calisma\data\Traindatatwoclass_features_02_12_2021_newspectrogramsparfor');

13 x 4225 lik bir data var.

170 data 

56 fast - 114 slow

trainRatio=0.8;
valRatio=0.1;
testRatio=0.1;

|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:03 |       34.38% |       58.82% |       0.8096 |       0.6990 |          0.0100 |
|       1 |           2 |       00:00:04 |       46.88% |       76.47% |       0.7273 |       0.6397 |          0.0100 |
|       1 |           3 |       00:00:04 |       68.75% |       82.35% |       0.6518 |       0.5804 |          0.0100 |
|       1 |           4 |       00:00:05 |       71.88% |       82.35% |       0.5541 |       0.5356 |          0.0100 |
|       2 |           5 |       00:00:05 |       81.25% |       82.35% |       0.4670 |       0.5052 |          0.0100 |
|       2 |           6 |       00:00:05 |       56.25% |       76.47% |       0.7086 |       0.4996 |          0.0100 |
|       2 |           7 |       00:00:06 |       75.00% |       70.59% |       0.5565 |       0.4922 |          0.0100 |
|       2 |           8 |       00:00:06 |       75.00% |       70.59% |       0.5185 |       0.4870 |          0.0100 |
|       3 |           9 |       00:00:06 |       87.50% |       70.59% |       0.4090 |       0.4830 |          0.0100 |
|       3 |          10 |       00:00:07 |       59.38% |       70.59% |       0.6519 |       0.4844 |          0.0100 |
|       3 |          11 |       00:00:07 |       78.13% |       70.59% |       0.5185 |       0.4744 |          0.0100 |
|       3 |          12 |       00:00:07 |       78.13% |       70.59% |       0.5060 |       0.4667 |          0.0100 |
|       4 |          13 |       00:00:07 |       90.63% |       70.59% |       0.3959 |       0.4539 |          0.0100 |
|       4 |          14 |       00:00:08 |       65.63% |       70.59% |       0.6197 |       0.4523 |          0.0100 |
|       4 |          15 |       00:00:08 |       81.25% |       70.59% |       0.4630 |       0.4433 |          0.0100 |
|       4 |          16 |       00:00:08 |       78.13% |       70.59% |       0.4941 |       0.4357 |          0.0100 |
|       5 |          17 |       00:00:09 |       90.63% |       70.59% |       0.3840 |       0.4212 |          0.0100 |
|       5 |          18 |       00:00:09 |       68.75% |       70.59% |       0.6340 |       0.4329 |          0.0100 |
|       5 |          19 |       00:00:09 |       78.13% |       70.59% |       0.4330 |       0.4514 |          0.0100 |
